Claim Date,Employee Name,Employee ID,Designation,Project Name,Email address,Total Persons,Allowable Amount,Total Bill Amount,List of Persons (as JSON),Seating Location,Bill_Date,Bill_No,Bill day,Computed_Total_Persons,Mismatch,Calculated_Bill_Day,Bill_Day_Match
2024-01-29,Penelope Alexander,2070,Business Analyst,edgeCore,Penelope.Alexander@xyz.com,1,400,361,"[{""employee_code"": NaN, ""name"": ""Autumn Hughes""}, {""employee_code"": ""D777"", ""name"": ""Jonah Baker""}, {""employee_code"": NaN, ""name"": ""Jack Bran""}, {""employee_code"": NaN, ""name"": ""Hanna Jo""}, {""employee_code"": NaN, ""name"": ""Kib Jim""}, {""employee_code"": NaN, ""name"": ""Alice Johnson""}, {""employee_code"": NaN, ""name"": ""Olivia Wright""}, {""employee_code"": NaN, ""name"": ""Peter Scott""}, {""employee_code"": NaN, ""name"": ""Quinn Adams""}, {""employee_code"": NaN, ""name"": ""Rachel Nelson""}, {""employee_code"": NaN, ""name"": ""Samuel Baker""}, {""employee_code"": NaN, ""name"": ""Taylor Carter""}, {""employee_code"": NaN, ""name"": ""Victor Perez""}, {""employee_code"": NaN, ""name"": ""Wendy Roberts""}, {""employee_code"": ""Consultant"", ""name"": ""Xavier Turner""}, {""employee_code"": NaN, ""name"": ""Leah Powell""}, {""employee_code"": NaN, ""name"": ""Naomi Patterson""}, {""employee_code"": NaN, ""name"": ""Paige Flores""}, {""employee_code"": NaN, ""name"": ""Ging John""}]",Chennai,2024-01-06,01_126,Saturday,19,True,Saturday,True
2024-01-25,Savannah Taylor,1870,Senior Data Scientist,edgeCore,Savannah.Taylor@xyz.com,6,2400,2392,"[{""employee_code"": ""1870"", ""name"": ""Savannah Taylor""}, {""employee_code"": ""2019"", ""name"": ""Emery Reed""}, {""employee_code"": NaN, ""name"": NaN}, {""employee_code"": NaN, ""name"": NaN}, {""employee_code"": ""2065"", ""name"": ""Kaitlyn Long""}, {""employee_code"": ""2068"", ""name"": ""Nia Thomas""}]",Chennai,2024-01-18,01_2,Thursday,6,False,Thursday,True
2024-01-26,Felicity Craig,0,intern,o9,Felicity.Craig@xyz.com,1,400,379,"[{""employee_code"": NaN, ""name"": ""Autumn Hughes""}, {""employee_code"": ""D777"", ""name"": ""Jonah Baker""}, {""employee_code"": NaN, ""name"": ""Jack Bran""}, {""employee_code"": NaN, ""name"": ""Hanna Jo""}, {""employee_code"": NaN, ""name"": ""Kib Jim""}, {""employee_code"": NaN, ""name"": ""Alice Johnson""}, {""employee_code"": NaN, ""name"": ""Olivia Wright""}, {""employee_code"": NaN, ""name"": ""Peter Scott""}, {""employee_code"": NaN, ""name"": ""Quinn Adams""}, {""employee_code"": NaN, ""name"": ""Rachel Nelson""}, {""employee_code"": NaN, ""name"": ""Samuel Baker""}, {""employee_code"": NaN, ""name"": ""Taylor Carter""}, {""employee_code"": NaN, ""name"": ""Victor Perez""}, {""employee_code"": NaN, ""name"": ""Wendy Roberts""}, {""employee_code"": ""Consultant"", ""name"": ""Xavier Turner""}, {""employee_code"": NaN, ""name"": ""Leah Powell""}, {""employee_code"": NaN, ""name"": ""Naomi Patterson""}, {""employee_code"": NaN, ""name"": ""Paige Flores""}, {""employee_code"": NaN, ""name"": ""Ging John""}]",,2024-01-09,01_73,Tuesday,19,True,Tuesday,True
2024-01-28,Mack Lopez,2037,ASSOCIATE,GREENMATH,Mack.Lopez@xyz.com,4,1600,1658,"[{""employee_code"": ""2037"", ""name"": ""Mack Lopez""}, {""employee_code"": ""2048"", ""name"": ""Leo Evans""}, {""employee_code"": ""2047"", ""name"": ""Mackenzie Mitchell""}, {""employee_code"": ""2043"", ""name"": ""Josie Barnes""}]",Chennai,2024-01-16,01_95,Tuesday,4,False,Tuesday,True
2024-01-20,Savannah Taylor,1870,Senior Data Scientist,edgeCore,Savannah.Taylor@xyz.com,6,2400,2435,"[{""employee_code"": ""1870"", ""name"": ""Savannah Taylor""}, {""employee_code"": ""2019"", ""name"": ""Emery Reed""}, {""employee_code"": NaN, ""name"": NaN}, {""employee_code"": NaN, ""name"": NaN}, {""employee_code"": ""2065"", ""name"": ""Kaitlyn Long""}, {""employee_code"": ""2068"", ""name"": ""Nia Thomas""}]",Chennai,2024-01-16,01_2,Tuesday,6,False,Tuesday,True
2024-01-20,Henry Elliott,2014,Talent Partner,HR,Henry.Elliott@xyz.com,3,1200,1165,"[{""employee_code"": ""2014"", ""name"": ""Henry Elliott""}, {""employee_code"": ""1996"", ""name"": ""Mila Palmer""}, {""employee_code"": ""2054"", ""name"": ""Layla Henderson""}]",Chennai,2024-01-19,01_146,Friday,3,False,Friday,True
2024-01-28,Luca Allen,1957,STL,"edgeCore, GreenMath",Luca.Allen@xyz.com,11,4400,4364,"[{""employee_code"": ""1957"", ""name"": ""Luca Allen""}, {""employee_code"": ""2024"", ""name"": ""Graham Roberts""}, {""employee_code"": ""2017"", ""name"": ""Miles Martinez""}, {""employee_code"": ""2058"", ""name"": ""Brooke Reed""}, {""employee_code"": ""2022"", ""name"": ""Levi Stewart""}, {""employee_code"": ""1947"", ""name"": ""Reagan Sullivan""}, {""employee_code"": ""1987"", ""name"": ""Sadie Cameron""}, {""employee_code"": ""2002"", ""name"": ""Adam James""}, {""employee_code"": ""1973"", ""name"": ""Charlotte Ross""}, {""employee_code"": ""2096"", ""name"": ""Alvin Johnson""}]",Bangalore,2024-01-03,01_138,Wednesday,10,True,Wednesday,True
2024-01-06,Mabel Gibson,2008,Software Engineer,greenMath,Mabel.Gibson@xyz.com,4,1600,1504,"[{""employee_code"": ""2008"", ""name"": ""Mabel Gibson""}, {""employee_code"": ""2064"", ""name"": ""Emmett Hall""}, {""employee_code"": ""2044"", ""name"": ""Jacob Williamson""}, {""employee_code"": ""2051"", ""name"": ""Liana Rodriguez""}]",Chennai,2024-01-01,01_55,Monday,4,False,Monday,True
2024-01-26,Nia Thomas,2068,Data Engineer,-,Nia.Thomas@xyz.com,5,2000,2003,"[{""employee_code"": ""2068"", ""name"": ""Nia Thomas""}, {""employee_code"": ""2053"", ""name"": ""Vivian Mitchell""}, {""employee_code"": ""2084"", ""name"": ""Aidan Bennett""}, {""employee_code"": ""2083"", ""name"": ""Skylar James""}, {""employee_code"": NaN, ""name"": NaN}]",Chennai,2024-01-12,01_83,Friday,5,False,Friday,True
2024-01-05,Mila Palmer,1996,Talent Partner,-,Mila.Palmer@xyz.com,3,1200,1268,"[{""employee_code"": ""1996"", ""name"": ""Mila Palmer""}, {""employee_code"": ""2054"", ""name"": ""Layla Henderson""}, {""employee_code"": ""2014"", ""name"": ""Henry Elliott""}]",Chennai,2024-01-04,01_171,Thursday,3,False,Thursday,True
2024-01-13,Vivian Johnson,2029,Senior Data Engineer,o9 -  TMobile Resilinc,Vivian.Johnson@xyz.com,8,3200,3126,"[{""employee_code"": ""2029"", ""name"": ""Vivian Johnson""}, {""employee_code"": ""2042"", ""name"": ""Chloe Ross""}, {""employee_code"": ""2037"", ""name"": ""Mack Lopez""}, {""employee_code"": ""2034"", ""name"": ""Chloe Russell""}, {""employee_code"": ""2051"", ""name"": ""Liana Rodriguez""}, {""employee_code"": ""2045"", ""name"": ""Harrison Duncan""}, {""employee_code"": ""2049"", ""name"": ""Olivia Alexander""}, {""employee_code"": ""2044"", ""name"": ""Jacob Williamson""}]",Chennai,2024-01-06,01_134,Saturday,8,False,Saturday,True
2024-01-22,Mabel Gibson,2008,Software Engineer,greenMath,Mabel.Gibson@xyz.com,9,3600,3686,"[{""employee_code"": ""2008"", ""name"": ""Mabel Gibson""}, {""employee_code"": ""2064"", ""name"": ""Emmett Hall""}, {""employee_code"": ""2052"", ""name"": ""Cameron Gibson""}, {""employee_code"": ""2043"", ""name"": ""Josie Barnes""}, {""employee_code"": ""1970"", ""name"": ""Benjamin Bishop""}, {""employee_code"": ""2048"", ""name"": ""Leo Evans""}, {""employee_code"": ""1932"", ""name"": ""Nia Ross""}, {""employee_code"": ""2037"", ""name"": ""Mack Lopez""}, {""employee_code"": ""2047"", ""name"": ""Mackenzie Mitchell""}, {""employee_code"": ""2046"", ""name"": ""Aubrey Adams""}]",Chennai,2024-01-20,01_56,Saturday,10,True,Saturday,True
2024-01-23,Zoe Sullivan,2005,Data Architect,5B,Zoe.Sullivan@xyz.com,4,1600,1650,"[{""employee_code"": ""2005"", ""name"": ""Zoe Sullivan""}, {""employee_code"": ""2061"", ""name"": ""Sebastian Mitchell""}, {""employee_code"": ""2069"", ""name"": ""Layne Duncan""}, {""employee_code"": ""2066"", ""name"": ""Nash Rivera""}]",Bangalore,2024-01-09,01_116,Tuesday,4,False,Tuesday,True
2024-01-15,Felicity Craig,2077,Associate,o9,Felicity.Craig@xyz.com,2,800,829,"[{""employee_code"": ""2077"", ""name"": ""Felicity Craig""}, {""employee_code"": ""2079"", ""name"": ""Macy Hernandez""}]",Chennai,2024-01-03,01_136,Wednesday,2,False,Wednesday,True
2024-01-13,Graham Roberts,2024,Software Engineer,edgeCore,Graham.Roberts@xyz.com,6,2400,2443,"[{""employee_code"": ""2024"", ""name"": ""Graham Roberts""}, {""employee_code"": ""1953"", ""name"": ""Finn Bennett""}, {""employee_code"": ""1941"", ""name"": ""Miles Elliott""}, {""employee_code"": ""2060"", ""name"": ""Liam Reed""}, {""employee_code"": ""2072"", ""name"": ""Mia Duncan""}, {""employee_code"": ""2073"", ""name"": ""June Wright""}]",Chennai,2024-01-11,01_101,Thursday,6,False,Thursday,True
2024-01-17,Luca Allen,1957,STL,"edgeCore, GreenMath",Luca.Allen@xyz.com,9,3600,3569,"[{""employee_code"": ""1957"", ""name"": ""Luca Allen""}, {""employee_code"": ""2024"", ""name"": ""Graham Roberts""}, {""employee_code"": ""2017"", ""name"": ""Miles Martinez""}, {""employee_code"": ""2058"", ""name"": ""Brooke Reed""}, {""employee_code"": ""2022"", ""name"": ""Levi Stewart""}, {""employee_code"": ""1947"", ""name"": ""Reagan Sullivan""}, {""employee_code"": ""1987"", ""name"": ""Sadie Cameron""}, {""employee_code"": ""2002"", ""name"": ""Adam James""}, {""employee_code"": ""1973"", ""name"": ""Charlotte Ross""}, {""employee_code"": ""2096"", ""name"": ""Alvin Johnson""}]",Bangalore,2024-01-10,01_138,Wednesday,10,True,Wednesday,True
2024-01-17,Miles Martinez,2017,Software Engineer,Greenmath,Miles.Martinez@xyz.com,22,8800,8744,"[{""employee_code"": ""2005"", ""name"": ""Zoe Sullivan""}, {""employee_code"": ""1957"", ""name"": ""Luca Allen""}, {""employee_code"": ""2017"", ""name"": ""Miles Martinez""}, {""employee_code"": ""2057"", ""name"": ""Amos Cameron""}, {""employee_code"": ""2056"", ""name"": ""Hope Garc?""}, {""employee_code"": ""2033"", ""name"": ""Gabriel Allen""}, {""employee_code"": ""2072"", ""name"": ""Mia Duncan""}, {""employee_code"": ""2058"", ""name"": ""Brooke Reed""}, {""employee_code"": ""2061"", ""name"": ""Sebastian Mitchell""}, {""employee_code"": ""2059"", ""name"": ""Amelia Hawkins""}, {""employee_code"": ""2067"", ""name"": ""Ariana Martinez""}, {""employee_code"": ""2073"", ""name"": ""June Wright""}, {""employee_code"": ""2012"", ""name"": ""Eli Harris""}, {""employee_code"": ""1941"", ""name"": ""Miles Elliott""}, {""employee_code"": ""2024"", ""name"": ""Graham Roberts""}, {""employee_code"": ""1987"", ""name"": ""Sadie Cameron""}, {""employee_code"": ""2020"", ""name"": ""Carson Hill""}, {""employee_code"": ""2006"", ""name"": ""Carson Nelson""}]",Bangalore,2024-01-08,01_37,Monday,18,True,Monday,True
2024-01-24,Savannah Taylor,1870,Engagement Lead,edgeCore,Savannah.Taylor@xyz.com,1,400,397,"[{""employee_code"": ""1870"", ""name"": ""Savannah Taylor""}]",Chennai,2024-01-17,01_144,Wednesday,1,False,Wednesday,True
2024-01-16,Savannah Taylor,1870,Engagement Lead,edgeCore,Savannah.Taylor@xyz.com,1,400,498,"[{""employee_code"": ""1870"", ""name"": ""Savannah Taylor""}]",Chennai,2024-01-04,01_144,Thursday,1,False,Thursday,True
2024-01-22,Graham Roberts,2024,Software Engineer,edgeCore,Graham.Roberts@xyz.com,16,6400,6352,"[{""employee_code"": ""2024"", ""name"": ""Graham Roberts""}, {""employee_code"": ""2056"", ""name"": ""Hope Garc?""}, {""employee_code"": ""1941"", ""name"": ""Miles Elliott""}, {""employee_code"": ""1957"", ""name"": ""Luca Allen""}, {""employee_code"": ""2072"", ""name"": ""Mia Duncan""}, {""employee_code"": ""2073"", ""name"": ""June Wright""}, {""employee_code"": ""2058"", ""name"": ""Brooke Reed""}, {""employee_code"": ""2005"", ""name"": ""Zoe Sullivan""}, {""employee_code"": ""2017"", ""name"": ""Miles Martinez""}, {""employee_code"": ""2012"", ""name"": ""Eli Harris""}, {""employee_code"": ""1962"", ""name"": ""Eden Chang""}, {""employee_code"": ""1947"", ""name"": ""Reagan Sullivan""}, {""employee_code"": ""2002"", ""name"": ""Adam James""}, {""employee_code"": ""2033"", ""name"": ""Gabriel Allen""}, {""employee_code"": ""2001"", ""name"": ""David Baker""}]",Chennai,2024-01-15,01_112,Monday,15,True,Monday,True
2024-01-17,Savannah Taylor,1870,Engagement Lead,edgeCore,Savannah.Taylor@xyz.com,1,400,322,"[{""employee_code"": ""1870"", ""name"": ""Savannah Taylor""}]",Chennai,2024-01-02,01_144,Tuesday,1,False,Tuesday,True
2024-01-09,Alexander Cole,0,INTERN,,Alexander.Cole@xyz.com,1,400,416,,,2024-01-06,01_121,Saturday,0,True,Saturday,True
2024-01-26,Natalie Duncan,2032,Data Scientist,o9 - WestRock,Natalie.Duncan@xyz.com,1,400,424,"[{""employee_code"": ""2032"", ""name"": ""Natalie Duncan""}]",Remote,2024-01-08,01_130,Monday,1,False,Monday,True
2024-01-18,Henry Elliott,2014,Talent Partner,HR,Henry.Elliott@xyz.com,3,1200,1208,"[{""employee_code"": ""2014"", ""name"": ""Henry Elliott""}, {""employee_code"": ""1996"", ""name"": ""Mila Palmer""}, {""employee_code"": ""2054"", ""name"": ""Layla Henderson""}]",Chennai,2024-01-01,01_146,Monday,3,False,Monday,True
2024-01-07,Savannah Taylor,1870,Senior Data Scientist,edgeCore,Savannah.Taylor@xyz.com,2,800,708,"[{""employee_code"": ""1870"", ""name"": ""Savannah Taylor""}, {""employee_code"": ""2019"", ""name"": ""Emery Reed""}]",Chennai,2024-01-06,01_3,Saturday,2,False,Saturday,True
2024-01-23,Alexander Cole,0,INTERN,,Alexander.Cole@xyz.com,1,400,326,,,2024-01-17,01_121,Wednesday,0,True,Wednesday,True
2024-01-20,Tobin Green,1935,Data Scientist,TripAdvisor,Tobin.Green@xyz.com,5,2000,2057,"[{""employee_code"": ""1935"", ""name"": ""Tobin Green""}, {""employee_code"": ""2053"", ""name"": ""Vivian Mitchell""}, {""employee_code"": ""1924"", ""name"": ""Eden Jackson""}, {""employee_code"": NaN, ""name"": ""Autumn Hughes""}, {""employee_code"": ""D777"", ""name"": ""Jonah Baker""}, {""employee_code"": NaN, ""name"": ""Jack Bran""}, {""employee_code"": NaN, ""name"": ""Hanna Jo""}, {""employee_code"": NaN, ""name"": ""Kib Jim""}, {""employee_code"": NaN, ""name"": ""Alice Johnson""}, {""employee_code"": NaN, ""name"": ""Olivia Wright""}, {""employee_code"": NaN, ""name"": ""Peter Scott""}, {""employee_code"": NaN, ""name"": ""Quinn Adams""}, {""employee_code"": NaN, ""name"": ""Rachel Nelson""}, {""employee_code"": NaN, ""name"": ""Samuel Baker""}, {""employee_code"": NaN, ""name"": ""Taylor Carter""}, {""employee_code"": NaN, ""name"": ""Victor Perez""}, {""employee_code"": NaN, ""name"": ""Wendy Roberts""}, {""employee_code"": ""Consultant"", ""name"": ""Xavier Turner""}, {""employee_code"": NaN, ""name"": ""Leah Powell""}, {""employee_code"": NaN, ""name"": ""Naomi Patterson""}, {""employee_code"": NaN, ""name"": ""Paige Flores""}, {""employee_code"": NaN, ""name"": ""Ging John""}, {""employee_code"": NaN, ""name"": ""Autumn Hughes""}, {""employee_code"": ""D777"", ""name"": ""Jonah Baker""}, {""employee_code"": NaN, ""name"": ""Jack Bran""}, {""employee_code"": NaN, ""name"": ""Hanna Jo""}, {""employee_code"": NaN, ""name"": ""Kib Jim""}, {""employee_code"": NaN, ""name"": ""Alice Johnson""}, {""employee_code"": NaN, ""name"": ""Olivia Wright""}, {""employee_code"": NaN, ""name"": ""Peter Scott""}, {""employee_code"": NaN, ""name"": ""Quinn Adams""}, {""employee_code"": NaN, ""name"": ""Rachel Nelson""}, {""employee_code"": NaN, ""name"": ""Samuel Baker""}, {""employee_code"": NaN, ""name"": ""Taylor Carter""}, {""employee_code"": NaN, ""name"": ""Victor Perez""}, {""employee_code"": NaN, ""name"": ""Wendy Roberts""}, {""employee_code"": ""Consultant"", ""name"": ""Xavier Turner""}, {""employee_code"": NaN, ""name"": ""Leah Powell""}, {""employee_code"": NaN, ""name"": ""Naomi Patterson""}, {""employee_code"": NaN, ""name"": ""Paige Flores""}, {""employee_code"": NaN, ""name"": ""Ging John""}]",Chennai,2024-01-17,01_11,Wednesday,41,True,Wednesday,True
2024-01-14,Mabel Gibson,2008,Software Engineer,greenMath,Mabel.Gibson@xyz.com,4,1600,1546,"[{""employee_code"": ""2008"", ""name"": ""Mabel Gibson""}, {""employee_code"": ""2064"", ""name"": ""Emmett Hall""}, {""employee_code"": ""2044"", ""name"": ""Jacob Williamson""}, {""employee_code"": ""2051"", ""name"": ""Liana Rodriguez""}]",Chennai,2024-01-10,01_55,Wednesday,4,False,Wednesday,True
2024-01-29,Luca Allen,1957,STL,"edgeCore, GreenMath",Luca.Allen@xyz.com,10,4000,3918,"[{""employee_code"": ""1957"", ""name"": ""Luca Allen""}, {""employee_code"": ""2005"", ""name"": ""Zoe Sullivan""}, {""employee_code"": ""2002"", ""name"": ""Adam James""}, {""employee_code"": ""2012"", ""name"": ""Eli Harris""}, {""employee_code"": ""1947"", ""name"": ""Reagan Sullivan""}, {""employee_code"": ""2022"", ""name"": ""Levi Stewart""}, {""employee_code"": ""1962"", ""name"": ""Eden Chang""}, {""employee_code"": ""2001"", ""name"": ""David Baker""}, {""employee_code"": ""1973"", ""name"": ""Charlotte Ross""}]",Bangalore,2024-01-08,01_165,Monday,9,True,Monday,True
2024-01-21,Autumn Walker,2018,Data Scientist,5B,Autumn.Walker@xyz.com,1,400,431,"[{""employee_code"": ""2018"", ""name"": ""Autumn Walker""}]",Bangalore,2024-01-08,01_97,Monday,1,False,Monday,True
2024-01-17,Felicity Taylor,0,INTERN,,Felicity.Taylor@xyz.com,1,400,435,"[{""employee_code"": NaN, ""name"": ""Autumn Hughes""}, {""employee_code"": ""D777"", ""name"": ""Jonah Baker""}, {""employee_code"": NaN, ""name"": ""Jack Bran""}, {""employee_code"": NaN, ""name"": ""Hanna Jo""}, {""employee_code"": NaN, ""name"": ""Kib Jim""}, {""employee_code"": NaN, ""name"": ""Alice Johnson""}, {""employee_code"": NaN, ""name"": ""Olivia Wright""}, {""employee_code"": NaN, ""name"": ""Peter Scott""}, {""employee_code"": NaN, ""name"": ""Quinn Adams""}, {""employee_code"": NaN, ""name"": ""Rachel Nelson""}, {""employee_code"": NaN, ""name"": ""Samuel Baker""}, {""employee_code"": NaN, ""name"": ""Taylor Carter""}, {""employee_code"": NaN, ""name"": ""Victor Perez""}, {""employee_code"": NaN, ""name"": ""Wendy Roberts""}, {""employee_code"": ""Consultant"", ""name"": ""Xavier Turner""}, {""employee_code"": NaN, ""name"": ""Leah Powell""}, {""employee_code"": NaN, ""name"": ""Naomi Patterson""}, {""employee_code"": NaN, ""name"": ""Paige Flores""}, {""employee_code"": NaN, ""name"": ""Ging John""}]",,2024-01-05,01_46,Friday,19,True,Friday,True
2024-01-25,Maddox Perez,2011,Associate ,LTV - Tripadvisor,Maddox.Perez@xyz.com,8,3200,3268,"[{""employee_code"": ""2011"", ""name"": ""Maddox Perez""}, {""employee_code"": ""2003"", ""name"": ""Milo Clark""}, {""employee_code"": ""2010"", ""name"": ""Aubrey Thomas""}, {""employee_code"": ""2049"", ""name"": ""Olivia Alexander""}, {""employee_code"": ""2045"", ""name"": ""Harrison Duncan""}, {""employee_code"": ""2034"", ""name"": ""Chloe Russell""}, {""employee_code"": ""2055"", ""name"": ""Brooke Mitchell""}, {""employee_code"": ""2042"", ""name"": ""Chloe Ross""}]",Chennai,2024-01-12,01_7,Friday,8,False,Friday,True
2024-01-22,Luca Allen,1957,STL,"edgeCore, GreenMath",Luca.Allen@xyz.com,11,4400,4475,"[{""employee_code"": ""1957"", ""name"": ""Luca Allen""}, {""employee_code"": ""2024"", ""name"": ""Graham Roberts""}, {""employee_code"": ""2017"", ""name"": ""Miles Martinez""}, {""employee_code"": ""2058"", ""name"": ""Brooke Reed""}, {""employee_code"": ""2022"", ""name"": ""Levi Stewart""}, {""employee_code"": ""1947"", ""name"": ""Reagan Sullivan""}, {""employee_code"": ""1987"", ""name"": ""Sadie Cameron""}, {""employee_code"": ""2002"", ""name"": ""Adam James""}, {""employee_code"": ""1973"", ""name"": ""Charlotte Ross""}, {""employee_code"": ""2096"", ""name"": ""Alvin Johnson""}]",Bangalore,2024-01-14,01_138,Sunday,10,True,Sunday,True
2024-01-20,Miles Lynch,0,Intern,Training,Miles.Lynch@xyz.com,2,800,844,"[{""employee_code"": NaN, ""name"": NaN}, {""employee_code"": NaN, ""name"": NaN}]",,2024-01-17,01_31,Wednesday,2,False,Wednesday,True
